date,restaurant pour enfants,kid-friendly Paris,activité enfant Paris,parc pour enfants Paris,isPartial
2019-10-20,54,0,52,0,False
2019-10-27,77,0,54,0,False
2019-11-03,41,0,0,0,False
2019-11-10,60,0,27,0,False
2019-11-17,42,0,0,0,False
2019-11-24,42,0,0,0,False
2019-12-01,26,0,0,0,False
2019-12-08,0,0,0,0,False
2019-12-15,45,0,0,0,False
2019-12-22,54,0,34,0,False
2019-12-29,39,0,36,0,False
2020-01-05,0,0,0,0,False
2020-01-12,45,0,0,0,False
2020-01-19,41,0,0,0,False
2020-01-26,40,0,0,24,False
2020-02-02,47,0,38,0,False
2020-02-09,49,0,36,0,False
2020-02-16,52,0,66,24,False
2020-02-23,74,0,23,0,False
2020-03-01,32,0,0,0,False
2020-03-08,29,0,0,0,False
2020-03-15,0,0,0,0,False
2020-03-22,0,0,0,0,False
2020-03-29,0,0,0,0,False
2020-04-05,0,0,0,0,False
2020-04-12,0,0,0,0,False
2020-04-19,0,0,0,0,False
2020-04-26,0,0,0,0,False
2020-05-03,0,0,0,0,False
2020-05-10,0,0,0,0,False
2020-05-17,0,0,0,0,False
2020-05-24,0,0,0,0,False
2020-05-31,22,0,0,0,False
2020-06-07,0,0,23,0,False
2020-06-14,42,0,0,0,False
2020-06-21,40,0,0,0,False
2020-06-28,25,0,25,0,False
2020-07-05,0,0,0,22,False
2020-07-12,32,0,0,0,False
2020-07-19,44,0,0,0,False
2020-07-26,34,0,32,0,False
2020-08-02,41,0,0,25,False
2020-08-09,57,0,0,0,False
2020-08-16,38,0,0,25,False
2020-08-23,43,0,28,0,False
2020-08-30,27,0,0,0,False
2020-09-06,28,0,0,0,False
2020-09-13,22,0,0,0,False
2020-09-20,0,0,0,0,False
2020-09-27,48,0,0,0,False
2020-10-04,27,0,23,0,False
2020-10-11,41,0,0,0,False
2020-10-18,34,0,36,0,False
2020-10-25,24,0,0,0,False
2020-11-01,0,0,0,0,False
2020-11-08,0,0,0,0,False
2020-11-15,0,0,0,0,False
2020-11-22,0,0,0,0,False
2020-11-29,0,0,0,0,False
2020-12-06,0,0,0,0,False
2020-12-13,0,0,0,0,False
2020-12-20,0,0,0,0,False
2020-12-27,0,0,0,0,False
2021-01-03,0,0,0,0,False
2021-01-10,0,0,0,0,False
2021-01-17,0,0,0,0,False
2021-01-24,0,0,0,0,False
2021-01-31,0,0,0,0,False
2021-02-07,0,0,0,0,False
2021-02-14,0,0,29,0,False
2021-02-21,0,0,0,0,False
2021-02-28,0,0,0,0,False
2021-03-07,28,0,0,0,False
2021-03-14,0,0,0,0,False
2021-03-21,0,0,0,0,False
2021-03-28,0,0,0,0,False
2021-04-04,0,0,0,0,False
2021-04-11,0,0,0,0,False
2021-04-18,0,0,0,0,False
2021-04-25,0,0,0,0,False
2021-05-02,0,0,0,0,False
2021-05-09,0,0,0,0,False
2021-05-16,0,0,26,0,False
2021-05-23,42,0,26,0,False
2021-05-30,23,0,0,0,False
2021-06-06,42,0,0,0,False
2021-06-13,24,0,0,0,False
2021-06-20,44,0,0,0,False
2021-06-27,47,0,25,0,False
2021-07-04,56,0,26,0,False
2021-07-11,83,0,48,0,False
2021-07-18,58,0,0,0,False
2021-07-25,62,0,0,0,False
2021-08-01,99,0,0,0,False
2021-08-08,82,0,0,46,False
2021-08-15,65,0,0,0,False
2021-08-22,51,0,0,0,False
2021-08-29,40,0,0,0,False
2021-09-05,30,0,0,0,False
2021-09-12,33,0,0,0,False
2021-09-19,46,0,0,0,False
2021-09-26,42,0,0,0,False
2021-10-03,0,0,0,0,False
2021-10-10,50,0,32,0,False
2021-10-17,48,0,35,29,False
2021-10-24,75,0,42,35,False
2021-10-31,49,0,49,0,False
2021-11-07,43,0,0,0,False
2021-11-14,51,0,0,0,False
2021-11-21,43,0,0,0,False
2021-11-28,45,0,0,0,False
2021-12-05,33,0,0,0,False
2021-12-12,49,0,0,0,False
2021-12-19,32,0,0,0,False
2021-12-26,0,0,0,0,False
2022-01-02,29,0,0,0,False
2022-01-09,32,0,0,0,False
2022-01-16,0,0,30,0,False
2022-01-23,38,0,0,0,False
2022-01-30,54,0,39,0,False
2022-02-06,43,0,28,0,False
2022-02-13,74,0,37,0,False
2022-02-20,64,0,45,20,False
2022-02-27,34,0,27,0,False
2022-03-06,38,0,27,0,False
2022-03-13,49,0,20,0,False
2022-03-20,61,0,26,25,False
2022-03-27,32,0,22,0,False
2022-04-03,45,0,0,18,False
2022-04-10,47,0,0,0,False
2022-04-17,68,0,24,0,False
2022-04-24,58,0,31,41,False
2022-05-01,45,0,32,23,False
2022-05-08,37,0,29,27,False
2022-05-15,41,0,0,0,False
2022-05-22,74,0,23,25,False
2022-05-29,27,0,0,0,False
2022-06-05,65,0,0,0,False
2022-06-12,48,0,23,0,False
2022-06-19,59,0,21,0,False
2022-06-26,38,0,25,0,False
2022-07-03,44,0,0,0,False
2022-07-10,65,0,36,0,False
2022-07-17,54,0,23,0,False
2022-07-24,64,0,31,28,False
2022-07-31,73,0,28,25,False
2022-08-07,100,0,0,28,False
2022-08-14,98,0,36,0,False
2022-08-21,51,0,0,0,False
2022-08-28,50,0,22,0,False
2022-09-04,44,0,33,0,False
2022-09-11,32,0,0,0,False
2022-09-18,47,0,28,0,False
2022-09-25,43,0,37,0,False
2022-10-02,49,0,33,0,False
2022-10-09,50,0,43,0,False
2022-10-16,41,0,43,0,False
2022-10-23,79,0,44,54,False
2022-10-30,78,0,38,22,False
2022-11-06,61,0,48,0,False
2022-11-13,51,0,26,0,False
2022-11-20,68,0,26,0,False
2022-11-27,37,0,20,0,False
2022-12-04,41,0,22,0,False
2022-12-11,34,0,0,0,False
2022-12-18,43,0,31,0,False
2022-12-25,76,0,63,0,False
2023-01-01,50,0,0,0,False
2023-01-08,57,0,0,0,False
2023-01-15,31,0,40,0,False
2023-01-22,44,0,26,0,False
2023-01-29,45,0,25,0,False
2023-02-05,78,0,0,0,False
2023-02-12,73,0,39,22,False
2023-02-19,77,0,46,0,False
2023-02-26,44,0,42,0,False
2023-03-05,47,0,28,0,False
2023-03-12,49,0,0,0,False
2023-03-19,56,0,21,0,False
2023-03-26,31,0,43,0,False
2023-04-02,34,0,0,0,False
2023-04-09,51,0,0,22,False
2023-04-16,69,0,26,0,False
2023-04-23,65,0,43,0,False
2023-04-30,54,0,27,0,False
2023-05-07,48,0,22,0,False
2023-05-14,54,0,32,0,False
2023-05-21,36,0,28,0,False
2023-05-28,54,0,0,0,False
2023-06-04,40,0,38,0,False
2023-06-11,36,0,26,0,False
2023-06-18,59,0,34,0,False
2023-06-25,55,0,28,0,False
2023-07-02,64,0,27,22,False
2023-07-09,41,0,27,0,False
2023-07-16,51,0,33,0,False
2023-07-23,75,0,32,0,False
2023-07-30,75,0,24,29,False
2023-08-06,74,0,27,0,False
2023-08-13,48,0,33,0,False
2023-08-20,44,0,23,0,False
2023-08-27,59,0,24,0,False
2023-09-03,43,0,23,0,False
2023-09-10,53,0,27,0,False
2023-09-17,51,0,0,0,False
2023-09-24,50,0,45,0,False
2023-10-01,36,0,0,0,False
2023-10-08,41,0,27,0,False
2023-10-15,39,0,43,0,False
2023-10-22,73,0,73,21,False
2023-10-29,81,0,42,0,False
2023-11-05,27,0,28,0,False
2023-11-12,44,0,0,23,False
2023-11-19,31,0,0,0,False
2023-11-26,27,0,29,0,False
2023-12-03,38,0,26,0,False
2023-12-10,47,0,0,0,False
2023-12-17,26,0,34,0,False
2023-12-24,58,0,71,0,False
2023-12-31,96,0,43,0,False
2024-01-07,50,0,29,0,False
2024-01-14,0,0,30,0,False
2024-01-21,42,0,28,0,False
2024-01-28,34,0,0,0,False
2024-02-04,59,0,35,0,False
2024-02-11,53,0,47,0,False
2024-02-18,59,0,52,0,False
2024-02-25,66,0,40,29,False
2024-03-03,62,0,31,0,False
2024-03-10,47,0,0,30,False
2024-03-17,52,0,39,0,False
2024-03-24,59,0,0,0,False
2024-03-31,49,0,43,0,False
2024-04-07,51,0,57,48,False
2024-04-14,45,0,47,26,False
2024-04-21,50,0,33,0,False
2024-04-28,69,0,51,0,False
2024-05-05,67,0,39,27,False
2024-05-12,0,0,0,0,False
2024-05-19,44,0,28,0,False
2024-05-26,42,0,25,0,False
2024-06-02,50,0,25,0,False
2024-06-09,45,0,0,0,False
2024-06-16,31,0,0,0,False
2024-06-23,48,0,30,0,False
2024-06-30,40,0,0,0,False
2024-07-07,67,0,31,0,False
2024-07-14,47,0,0,0,False
2024-07-21,46,0,0,0,False
2024-07-28,60,0,0,0,False
2024-08-04,55,0,32,0,False
2024-08-11,49,0,38,30,False
2024-08-18,81,0,36,27,False
2024-08-25,64,0,30,0,False
2024-09-01,37,0,33,0,False
2024-09-08,28,0,44,0,False
2024-09-15,40,0,0,0,False
2024-09-22,71,0,0,0,False
2024-09-29,71,0,31,0,False
2024-10-06,60,0,37,0,False
2024-10-13,52,0,46,16,False
2024-10-20,77,0,68,28,True
