date,restaurant kids friendly,isPartial
2023-11-05,27,False
2023-11-12,30,False
2023-11-19,40,False
2023-11-26,24,False
2023-12-03,0,False
2023-12-10,0,False
2023-12-17,33,False
2023-12-24,42,False
2023-12-31,42,False
2024-01-07,0,False
2024-01-14,38,False
2024-01-21,0,False
2024-01-28,46,False
2024-02-04,0,False
2024-02-11,36,False
2024-02-18,41,False
2024-02-25,64,False
2024-03-03,62,False
2024-03-10,43,False
2024-03-17,32,False
2024-03-24,49,False
2024-03-31,39,False
2024-04-07,0,False
2024-04-14,57,False
2024-04-21,49,False
2024-04-28,78,False
2024-05-05,89,False
2024-05-12,34,False
2024-05-19,41,False
2024-05-26,0,False
2024-06-02,0,False
2024-06-09,26,False
2024-06-16,36,False
2024-06-23,35,False
2024-06-30,32,False
2024-07-07,43,False
2024-07-14,49,False
2024-07-21,43,False
2024-07-28,60,False
2024-08-04,78,False
2024-08-11,100,False
2024-08-18,50,False
2024-08-25,43,False
2024-09-01,42,False
2024-09-08,33,False
2024-09-15,46,False
2024-09-22,26,False
2024-09-29,70,False
2024-10-06,30,False
2024-10-13,56,False
2024-10-20,96,False
2024-10-27,100,False
2024-11-03,41,True
